municipality_code,name,name_ja,name_kana,pref,lat,lng,nearest_station_id,station_distance_km
01101,Chuo-ku,札幌市中央区,サッポロシチュウオウク,Hokkaido,43.05545,141.341095,st_08935,0.3
01102,Kita-ku,札幌市北区,サッポロシキタク,Hokkaido,43.090778,141.340973,st_08963,0.4
01103,Higashi-ku,札幌市東区,サッポロシヒガシク,Hokkaido,43.076111,141.363617,st_08954,0.3
01104,Shiroishi-ku,札幌市白石区,サッポロシシロイシク,Hokkaido,43.045555,141.396408,st_08914,0.2
01105,Toyohira-ku,札幌市豊平区,サッポロシトヨヒラク,Hokkaido,43.031345,141.380066,st_08899,0.7
01106,Minami-ku,札幌市南区,サッポロシミナミク,Hokkaido,42.990009,141.3535,st_08870,0.5
01107,Nishi-ku,札幌市西区,サッポロシニシク,Hokkaido,43.074455,141.300903,st_08951,0.3
01108,Atsubetsu-ku,札幌市厚別区,サッポロシアツベツク,Hokkaido,43.036392,141.474762,st_08902,0.2
01109,Teine-ku,札幌市手稲区,サッポロシテイネク,Hokkaido,43.121876,141.245789,st_08979,0.3
01110,Kiyota-ku,札幌市清田区,サッポロシキヨタク,Hokkaido,42.999569,141.443802,st_08885,3.2
01202,Hakodate-shi,函館市,ハコダテシ,Hokkaido,41.768688,140.728943,st_08732,0.3
01203,Otaru-shi,小樽市,オタルシ,Hokkaido,43.190704,140.994492,st_09006,0.6
01204,Asahikawa-shi,旭川市,アサヒカワシ,Hokkaido,43.771435,142.365295,st_09063,1.1
01205,Muroran-shi,室蘭市,ムロランシ,Hokkaido,42.315208,140.973816,st_08782,0.4
01206,Kushiro-shi,釧路市,クシロシ,Hokkaido,42.984932,144.381775,st_08868,0.6
01207,Obihiro-shi,帯広市,オビヒロシ,Hokkaido,42.924175,143.196228,st_08853,0.7
01208,Kitami-shi,北見市,キタミシ,Hokkaido,43.802906,143.894684,st_09078,0.5
01209,Yubari-shi,夕張市,ユウバリシ,Hokkaido,43.056732,141.973923,st_08859,14.4
01210,Iwamizawa-shi,岩見沢市,イワミザワシ,Hokkaido,43.19603,141.77536,st_09012,1.5
01211,Abashiri-shi,網走市,アバシリシ,Hokkaido,44.020134,144.268402,st_09113,0.6
01212,Rumoi-shi,留萌市,ルモイシ,Hokkaido,43.941006,141.636932,st_09079,27.8
01213,Tomakomai-shi,苫小牧市,トマコマイシ,Hokkaido,42.634071,141.60553,st_08820,0.9
01214,Wakkanai-shi,稚内市,ワッカナイシ,Hokkaido,45.416866,141.673492,st_09145,0.3
01215,Bibai-shi,美唄市,ビバイシ,Hokkaido,43.332912,141.853806,st_09024,0.7
01216,Ashibetsu-shi,芦別市,アシベツシ,Hokkaido,43.518211,142.189484,st_09039,0.5
01217,Ebetsu-shi,江別市,エベツシ,Hokkaido,43.103745,141.53624,st_08969,0.5
01218,Akabira-shi,赤平市,アカビラシ,Hokkaido,43.558048,142.044174,st_09043,0.4
01219,Mombetsu-shi,紋別市,モンベツシ,Hokkaido,44.356373,143.35437,,
01220,Shibetsu-shi,士別市,シベツシ,Hokkaido,44.178116,142.400772,st_09118,1.2
01221,Nayoro-shi,名寄市,ナヨロシ,Hokkaido,44.355907,142.463181,st_09123,0.7
01222,Mikasa-shi,三笠市,ミカサシ,Hokkaido,43.24567,141.875244,st_09018,5.3
01223,Nemuro-shi,根室市,ネムロシ,Hokkaido,43.330105,145.583466,st_09023,0.4
01224,Chitose-shi,千歳市,チトセシ,Hokkaido,42.821011,141.651001,st_08838,0.8
01225,Takikawa-shi,滝川市,タキカワシ,Hokkaido,43.557777,141.91037,st_09045,0.7
01226,Sunagawa-shi,砂川市,スナガワシ,Hokkaido,43.494328,141.902527,st_09038,0.6
01227,Utashinai-shi,歌志内市,ウタシナイシ,Hokkaido,43.521393,142.034485,st_09043,3.9
01228,Fukagawa-shi,深川市,フカガワシ,Hokkaido,43.723644,142.053802,st_09057,1.1
