old_code,old_name,old_name_ja,new_code,new_name,new_name_ja,merged_year,confidence,source
01335,Kamiiso-cho,上磯町,01236,Hokuto-shi,北斗市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
01605,Shizunai-cho,静内町,01610,Shinhidaka-cho,新ひだか町,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
02365,Hiraka-machi,平賀町,02210,Hirakawa-shi,平川市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
03204,Mizusawa-shi,水沢市,03215,Oshu-shi,奥州市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
03304,Nishine-cho,西根町,03214,Hachimantai-shi,八幡平市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
04204,Furukawa-shi,古川市,04215,Osaki-shi,大崎市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
04503,Kogota-cho,小牛田町,04505,Misato-machi,美里町,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
04521,Tsukidate-cho,築館町,04214,Higashimatsushima-shi,東松島市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
04541,Hasama-cho,迫町,04214,Higashimatsushima-shi,東松島市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
04562,Yamoto-cho,矢本町,04214,Higashimatsushima-shi,東松島市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
07206,Haramachi-shi,原町市,07213,Date-shi,伊達市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
07323,Motomiya-machi,本宮町,07214,Motomiya-shi,本宮市,2007,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
07441,Aizutakada-machi,会津高田町,07447,Aizumisato-machi,会津美里町,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
08303,Ogawa-machi,小川町,08236,Omitama-shi,小美玉市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
08324,Iwase-machi,岩瀬町,08231,Sakuragawa-shi,桜川市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
08406,Kamisu-machi,神栖町,08232,Kamisu-shi,神栖市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
08407,Hasaki-machi,波崎町,08232,Kamisu-shi,神栖市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
08421,Aso-machi,麻生町,08233,Namegata-shi,行方市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
08463,Yasato-machi,八郷町,08231,Sakuragawa-shi,桜川市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
08482,Ina-machi,伊奈町,08236,Omitama-shi,小美玉市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
09302,Minamikawachi-machi,南河内町,09216,Shimotsuke-shi,下野市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
10484,Kasakake-machi,笠懸町,10429,Higashiagatsuma-machi,東吾妻町,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
11213,Iwatsuki-shi,岩槻市,11110,Iwatsuki-ku,岩槻区,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
11236,Kamifukuoka-shi,上福岡市,11245,Fujimino-shi,ふじみ野市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
11304,Fukiage-machi,吹上町,11245,Fujimino-shi,ふじみ野市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
11468,Showa-machi,庄和町,11245,Fujimino-shi,ふじみ野市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
12209,Sawara-shi,佐原市,12237,Sammu-shi,山武市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
12214,Yokaichiba-shi,八日市場市,12235,Sosa-shi,匝瑳市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
12404,Naruto-machi,成東町,12237,Sammu-shi,山武市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
14209,Sagamihara-shi,相模原市,14150,Sagamihara-shi,相模原市,2010,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
15310,Nakajo-machi,中条町,15227,Tainai-shi,胎内市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
16203,Shinminato-shi,新湊市,16211,Imizu-shi,射水市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
18203,Takefu-shi,武生市,18209,Echizen-shi,越前市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
18361,Mikuni-cho,三国町,18210,Sakai-shi,坂井市,2006,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
19203,Enzan-shi,塩山市,19213,Koshu-shi,甲州市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
22201,Shizuoka-shi,静岡市,22225,Izunokuni-shi,伊豆の国市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
22202,Hamamatsu-shi,浜松市,22130,Hamamatsu-shi,浜松市,2007,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
22321,Izunagaoka-cho,伊豆長岡町,22225,Izunokuni-shi,伊豆の国市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
22422,Sagara-cho,相良町,22226,Makinohara-shi,牧之原市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
22481,Asaba-cho,浅羽町,22225,Izunokuni-shi,伊豆の国市,2005,high,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
