municipality_code,name,name_ja,name_source,pref,year,total_dwellings,vacant_total,vacant_other,vacancy_rate,rate_source,source
01101,Chuo-ku,中央区,estat-en,Hokkaido,2003,113190,19740,7760,17.4,computed (vacant_total/total_dwellings),Housing and Land Survey (Statistics Bureau of Japan)
01101,Chuo-ku,中央区,estat-en,Hokkaido,2008,136470,22030,1200,16.1,computed (vacant_total/total_dwellings),Housing and Land Survey (Statistics Bureau of Japan)
01101,Chuo-ku,中央区,estat-en,Hokkaido,2013,149730,30450,5300,20.3,computed (vacant_total/total_dwellings),Housing and Land Survey (Statistics Bureau of Japan)
01101,Chuo-ku,中央区,estat-en,Hokkaido,2018,158070,29010,13040,18.4,computed (vacant_total/total_dwellings),Housing and Land Survey (Statistics Bureau of Japan)
01101,Chuo-ku,中央区,estat-en,Hokkaido,2023,174070,32100,8560,18.4,computed (vacant_total/total_dwellings),Housing and Land Survey (Statistics Bureau of Japan)
01102,Kita-ku,札幌市北区,estat-en,Hokkaido,2003,124360,14220,2760,11.4,computed (vacant_total/total_dwellings),Housing and Land Survey (Statistics Bureau of Japan)
01102,Kita-ku,北区,estat-en,Hokkaido,2008,139410,17310,3280,12.4,computed (vacant_total/total_dwellings),Housing and Land Survey (Statistics Bureau of Japan)
01102,Kita-ku,北区,estat-en,Hokkaido,2013,139350,17110,3990,12.3,computed (vacant_total/total_dwellings),Housing and Land Survey (Statistics Bureau of Japan)
01102,Kita-ku,北区,estat-en,Hokkaido,2018,150820,15710,4580,10.4,computed (vacant_total/total_dwellings),Housing and Land Survey (Statistics Bureau of Japan)
01102,Kita-ku,北区,estat-en,Hokkaido,2023,163690,24740,4770,15.1,computed (vacant_total/total_dwellings),Housing and Land Survey (Statistics Bureau of Japan)
01103,Higashi-ku,札幌市東区,estat-en,Hokkaido,2003,122760,14920,3210,12.2,computed (vacant_total/total_dwellings),Housing and Land Survey (Statistics Bureau of Japan)
01103,Higashi-ku,東区,estat-en,Hokkaido,2008,130600,18260,1650,14.0,computed (vacant_total/total_dwellings),Housing and Land Survey (Statistics Bureau of Japan)
01103,Higashi-ku,東区,estat-en,Hokkaido,2013,134500,17810,3820,13.2,computed (vacant_total/total_dwellings),Housing and Land Survey (Statistics Bureau of Japan)
