reason,name_ja,a,b,distance_m
n02_same_name_same_pref_far_apart,ナゴヤドーム前矢田,005389,005392,398
n02_same_name_same_pref_far_apart,下島,002540,003063,44161
n02_same_name_same_pref_far_apart,中津,007016,007026,396
n02_same_name_same_pref_far_apart,今里,007284,007342,754
n02_same_name_same_pref_far_apart,伊丹,006709,006714,720
n02_same_name_same_pref_far_apart,住吉,006974,007007,714
n02_same_name_same_pref_far_apart,六地蔵,006224,006231,348
n02_same_name_same_pref_far_apart,十条,006120,006126,670
n02_same_name_same_pref_far_apart,吹田,006779,006798,580
n02_same_name_same_pref_far_apart,味美,005267,005282,825
n02_same_name_same_pref_far_apart,城野,008712,008713,521
n02_same_name_same_pref_far_apart,堀田,005628,005640,472
n02_same_name_same_pref_far_apart,塚口,006820,006830,877
n02_same_name_same_pref_far_apart,大阪梅田,007048,007071,559
n02_same_name_same_pref_far_apart,宇治,006319,006334,707
n02_same_name_same_pref_far_apart,小杉,001896,002024,14996
n02_same_name_same_pref_far_apart,尼崎,006918,006981,2018
n02_same_name_same_pref_far_apart,嵐山,005931,005967,659
n02_same_name_same_pref_far_apart,市場,006524,006546,1254
n02_same_name_same_pref_far_apart,平岸,000120,000285,83190
n02_same_name_same_pref_far_apart,平野,007505,007546,1110
n02_same_name_same_pref_far_apart,弘明寺,004756,004761,453
n02_same_name_same_pref_far_apart,御影,006951,007003,1120
n02_same_name_same_pref_far_apart,志井,008792,008811,2166
n02_same_name_same_pref_far_apart,日比野,005483,005579,15341
n02_same_name_same_pref_far_apart,早稲田,003514,003570,714
n02_same_name_same_pref_far_apart,明智,004725,005100,30654
n02_same_name_same_pref_far_apart,春日井,005234,005253,4453
n02_same_name_same_pref_far_apart,春日野道,007067,007078,451
n02_same_name_same_pref_far_apart,木幡,006247,006254,303
n02_same_name_same_pref_far_apart,東京,003766,003785,382
n02_same_name_same_pref_far_apart,柚木,005508,006092,28719
n02_same_name_same_pref_far_apart,桜川,007294,007296,450
n02_same_name_same_pref_far_apart,植田,005592,007017,58215
n02_same_name_same_pref_far_apart,武蔵小杉,004297,004301,353
n02_same_name_same_pref_far_apart,泉,001360,001710,98414
n02_same_name_same_pref_far_apart,浅草,003502,003522,545
n02_same_name_same_pref_far_apart,琴似,000217,000220,769
n02_same_name_same_pref_far_apart,白島,007995,008013,826
n02_same_name_same_pref_far_apart,白石,000255,000267,1873
n02_same_name_same_pref_far_apart,石川,000606,000609,978
n02_same_name_same_pref_far_apart,船津,007929,008451,66307
n02_same_name_same_pref_far_apart,芦屋,006908,006936,803
n02_same_name_same_pref_far_apart,西宮,006881,006894,671
n02_same_name_same_pref_far_apart,谷山,010084,010085,507
n02_same_name_same_pref_far_apart,郡元,010066,010069,806
n02_same_name_same_pref_far_apart,野々市,002139,002146,2000
n02_same_name_same_pref_far_apart,野田,007109,007159,702
n02_same_name_same_pref_far_apart,長田,007200,007295,1462
n02_same_name_same_pref_far_apart,難波,007305,007356,466
n02_same_name_same_pref_far_apart,高井田,007235,007680,13344
