station_id,operator,operator_station_name_ja,odpt_id,line_names
st_00001,Odakyu Electric Railway,湘南台,odpt.Station:Odakyu.Enoshima.Shonandai,Enoshima Line
st_00001,Sagami Railway,湘南台,odpt.Station:Sotetsu.Izumino.Shonandai,Izumino Line
st_00001,"Transportation Bureau, City of Yokohama",湘南台,odpt.Station:YokohamaMunicipal.Blue.Shonandai,Blue Line
st_00002,JR East,戸塚,odpt.Station:JR-East.ShonanShinjuku.Totsuka;odpt.Station:JR-East.Tokaido.Totsuka;odpt.Station:JR-East.Yokosuka.Totsuka,Shonan-Shinjuku Line;Tokaido Line;Yokosuka Line
st_00002,"Transportation Bureau, City of Yokohama",戸塚,odpt.Station:YokohamaMunicipal.Blue.Totsuka,Blue Line
st_00003,"Transportation Bureau, City of Yokohama",港南中央,odpt.Station:YokohamaMunicipal.Blue.KonanChuo,Blue Line
st_00004,"Transportation Bureau, City of Yokohama",上永谷,odpt.Station:YokohamaMunicipal.Blue.Kaminagaya,Blue Line
st_00005,"Transportation Bureau, City of Yokohama",舞岡,odpt.Station:YokohamaMunicipal.Blue.Maioka,Blue Line
st_00006,"Transportation Bureau, City of Yokohama",下永谷,odpt.Station:YokohamaMunicipal.Blue.Shimonagaya,Blue Line
st_00007,"Transportation Bureau, City of Yokohama",下飯田,odpt.Station:YokohamaMunicipal.Blue.Shimoiida,Blue Line
st_00008,"Transportation Bureau, City of Yokohama",踊場,odpt.Station:YokohamaMunicipal.Blue.Odoriba,Blue Line
st_00009,Keikyu Corporation,上大岡,odpt.Station:Keikyu.Main.Kamiooka,Keikyu Main Line
st_00009,"Transportation Bureau, City of Yokohama",上大岡,odpt.Station:YokohamaMunicipal.Blue.Kamiooka,Blue Line
st_00010,"Transportation Bureau, City of Yokohama",中田,odpt.Station:YokohamaMunicipal.Blue.Nakada,Blue Line
st_00011,"Transportation Bureau, City of Yokohama",立場,odpt.Station:YokohamaMunicipal.Blue.Tateba,Blue Line
st_00012,"Transportation Bureau, City of Yokohama",弘明寺,odpt.Station:YokohamaMunicipal.Blue.Gumyoji,Blue Line
st_00013,"Transportation Bureau, City of Yokohama",蒔田,odpt.Station:YokohamaMunicipal.Blue.Maita,Blue Line
st_00014,"Transportation Bureau, City of Yokohama",吉野町,odpt.Station:YokohamaMunicipal.Blue.Yoshinocho,Blue Line
st_00015,"Transportation Bureau, City of Yokohama",阪東橋,odpt.Station:YokohamaMunicipal.Blue.Bandobashi,Blue Line
st_00016,"Transportation Bureau, City of Yokohama",伊勢佐木長者町,odpt.Station:YokohamaMunicipal.Blue.IsezakiChojamachi,Blue Line
st_00017,JR East,関内,odpt.Station:JR-East.KeihinTohokuNegishi.Kannai,Keihin-Tohoku-Negishi Line
st_00017,"Transportation Bureau, City of Yokohama",関内,odpt.Station:YokohamaMunicipal.Blue.Kannai,Blue Line
st_00018,JR East,桜木町,odpt.Station:JR-East.KeihinTohokuNegishi.Sakuragicho,Keihin-Tohoku-Negishi Line
st_00018,"Transportation Bureau, City of Yokohama",桜木町,odpt.Station:YokohamaMunicipal.Blue.Sakuragicho,Blue Line
st_00019,"Transportation Bureau, City of Yokohama",高島町,odpt.Station:YokohamaMunicipal.Blue.Takashimacho,Blue Line
st_00020,JR East,横浜,odpt.Station:JR-East.KeihinTohokuNegishi.Yokohama;odpt.Station:JR-East.ShonanShinjuku.Yokohama;odpt.Station:JR-East.Tokaido.Yokohama;odpt.Station:JR-East.Yokosuka.Yokohama,Keihin-Tohoku-Negishi Line;Shonan-Shinjuku Line;Tokaido Line;Yokosuka Line
st_00020,Keikyu Corporation,横浜,odpt.Station:Keikyu.Main.Yokohama,Keikyu Main Line
st_00020,Sagami Railway,横浜,odpt.Station:Sotetsu.Main.Yokohama,Sotetsu Main Line
st_00020,Tokyu Railways,横浜,odpt.Station:Tokyu.Toyoko.Yokohama,Toyoko Line
st_00020,"Transportation Bureau, City of Yokohama",横浜,odpt.Station:YokohamaMunicipal.Blue.Yokohama,Blue Line
st_00020,Yokohama Minatomirai Railway,横浜,odpt.Station:Minatomirai.Minatomirai.Yokohama,Minatomirai Line
st_00021,"Transportation Bureau, City of Yokohama",三ツ沢上町,odpt.Station:YokohamaMunicipal.Blue.MitsuzawaKamicho,Blue Line
st_00022,"Transportation Bureau, City of Yokohama",三ツ沢下町,odpt.Station:YokohamaMunicipal.Blue.MitsuzawaShimocho,Blue Line
st_00023,"Transportation Bureau, City of Yokohama",片倉町,odpt.Station:YokohamaMunicipal.Blue.Katakuracho,Blue Line
st_00024,"Transportation Bureau, City of Yokohama",岸根公園,odpt.Station:YokohamaMunicipal.Blue.KishineKoen,Blue Line
st_00025,JR Central,新横浜,odpt.Station:JR-Central.TokaidoShinkansen.ShinYokohama,Tokaido-Shinkansen
