station_id,name,name_ja,name_source,lat,lng,pref,operators,merge_confidence,member_count
st_00001,Shonandai,湘南台,odpt,35.396565,139.466502,Kanagawa,"Odakyu Electric Railway;Sagami Railway;Transportation Bureau, City of Yokohama",high,3
st_00002,Totsuka,戸塚,odpt,35.401142,139.535125,Kanagawa,"JR East;Transportation Bureau, City of Yokohama",high,4
st_00003,Konan-Chuo,港南中央,odpt,35.401317,139.591578,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00004,Kaminagaya,上永谷,odpt,35.401456,139.573079,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00005,Maioka,舞岡,odpt,35.402538,139.551498,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00006,Shimonagaya,下永谷,odpt,35.402844,139.559275,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00007,Shimoiida,下飯田,odpt,35.403362,139.482969,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00008,Odoriba,踊場,odpt,35.405704,139.518501,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00009,Kamiooka,上大岡,odpt,35.408451,139.595875,Kanagawa,"Keikyu Corporation;Transportation Bureau, City of Yokohama",high,2
st_00010,Nakada,中田,odpt,35.411199,139.511324,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00011,Tateba,立場,odpt,35.414230,139.500280,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00012,Gumyoji,弘明寺,odpt,35.423152,139.602039,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00013,Maita,蒔田,odpt,35.430203,139.610464,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00014,Yoshinocho,吉野町,odpt,35.435424,139.618880,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00015,Bandobashi,阪東橋,odpt,35.437646,139.625296,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00016,Isezaki-Chojamachi,伊勢佐木長者町,odpt,35.441008,139.632601,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00017,Kannai,関内,odpt,35.445714,139.635978,Kanagawa,"JR East;Transportation Bureau, City of Yokohama",high,2
st_00018,Sakuragicho,桜木町,odpt,35.449761,139.630626,Kanagawa,"JR East;Transportation Bureau, City of Yokohama",high,2
st_00019,Takashimacho,高島町,odpt,35.458945,139.623477,Kanagawa,"Transportation Bureau, City of Yokohama",single,1
st_00020,Yokohama,横浜,odpt,35.465624,139.619948,Kanagawa,"JR East;Keikyu Corporation;Sagami Railway;Tokyu Railways;Transportation Bureau, City of Yokohama;Yokohama Minatomirai Railway",high,9
