station_id,operator,year,passenger_journeys,includes_alighting,source_survey_id
st_00001,"Transportation Bureau, City of Yokohama",2000,28805,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2001,33238,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2002,37013,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2003,39670,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2004,42439,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2005,45235,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2006,46827,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2007,47775,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2008,43674,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2009,43115,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2010,44431,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2011,44726,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2012,45780,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2013,47408,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2014,46924,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
st_00001,"Transportation Bureau, City of Yokohama",2015,47371,true,odpt.PassengerSurvey:YokohamaMunicipal.Shonandai
